Stop_ID,Stop_name,stop_lat,stop_lon,GEOID,County,trip_id,route_id,direction_,shape_id
501164,150 ST/18 AV,40.783000000000001,-73.813896000000000,36081,Queens County,CS_C9-Weekday-SDon-125300_Q15_12,Q15,0,Q150025
501165,150 ST/17 AV,40.784421000000002,-73.813696999999991,36081,Queens County,CS_C9-Weekday-SDon-125300_Q15_12,Q15,0,Q150025
501166,150 ST/15 DR,40.785496999999999,-73.813593000000012,36081,Queens County,CS_C9-Weekday-SDon-125300_Q15_12,Q15,0,Q150025
501174,154 ST/CRYDERS LA,40.786923000000002,-73.807828999999998,36081,Queens County,CS_C9-Weekday-SDon-125300_Q15_12,Q15,0,Q150025
501175,154 ST/14 AV,40.789755000000000,-73.807496000000000,36081,Queens County,CS_C9-Weekday-SDon-125300_Q15_12,Q15,0,Q150025
501176,154 ST/12 RD,40.791156999999998,-73.807304000000002,36081,Queens County,CS_C9-Weekday-SDon-125300_Q15_12,Q15,0,Q150025
501177,154 ST/11 AV,40.792184000000006,-73.807163000000003,36081,Queens County,CS_C9-Weekday-SDon-125300_Q15_12,Q15,0,Q150025
503728,ROOSEVELT AV/MAIN ST,40.760034999999995,-73.828028000000003,36081,Queens County,CS_C9-Weekday-SDon-045600_Q15_1,Q15A,1,Q15A0025
505126,154 ST/9 AV,40.793624000000001,-73.806972000000002,36081,Queens County,CS_C9-Weekday-SDon-125300_Q15_12,Q15,0,Q150025
505127,POWELLS COVE BL/157 ST,40.794381000000001,-73.803329000000005,36081,Queens County,CS_C9-Weekday-SDon-125300_Q15_12,Q15,0,Q150025
505160,POWELLS COVE BL/160 ST,40.794204000000001,-73.801096999999999,36081,Queens County,CS_C9-Weekday-SDon-125300_Q15_12,Q15,0,Q150025
804030,166 ST / POWELLS COVE BL,40.793804999999999,-73.797415000000001,36081,Queens County,CS_C9-Weekday-SDon-125300_Q15_12,Q15,0,Q150025
904172,162 ST/POWELL'S COVE BL,40.794060999999999,-73.799688000000003,36081,Queens County,CS_C9-Weekday-SDon-125300_Q15_12,Q15,0,Q150025
501110,150 ST/CROSS ISLAND PKY SVC RD S,40.787588000000000,-73.813268999999991,36081,Queens County,CS_C9-Weekday-SDon-124100_Q15_10,Q15A,0,Q15A0041
501111,150 ST/14 AV,40.789144999999998,-73.813856999999999,36081,Queens County,CS_C9-Weekday-SDon-124100_Q15_10,Q15A,0,Q15A0041
501112,150 ST/12 AV,40.790655999999998,-73.814458999999999,36081,Queens County,CS_C9-Weekday-SDon-124100_Q15_10,Q15A,0,Q15A0041
501113,150 ST/10 AV,40.792726999999999,-73.815291000000002,36081,Queens County,CS_C9-Weekday-SDon-124100_Q15_10,Q15A,0,Q15A0041
501114,150 ST/8 AV,40.794226000000002,-73.815889999999996,36081,Queens County,CS_C9-Weekday-SDon-124100_Q15_10,Q15A,0,Q15A0041
501115,7 AV/150 ST,40.794815999999997,-73.815747999999999,36081,Queens County,CS_C9-Weekday-SDon-124100_Q15_10,Q15A,0,Q15A0041
904025,CLINTONVILLE ST/7 AV,40.795059999999999,-73.813876000000008,36081,Queens County,CS_C9-Weekday-SDon-124100_Q15_10,Q15A,0,Q15A0041
904180,CLINTONVILLE ST/10 AV,40.793033000000001,-73.813071999999991,36081,Queens County,CS_C9-Weekday-SDon-124100_Q15_10,Q15A,0,Q15A0041
904181,10 AV/152 ST,40.793472999999999,-73.810198000000000,36081,Queens County,CS_C9-Weekday-SDon-124100_Q15_10,Q15A,0,Q15A0041
500852,BOWNE ST/41 AV,40.759540999999999,-73.823864000000000,36081,Queens County,CS_C9-Weekday-SDon-148500_MISC_819,Q12,0,Q120037
500853,SANFORD AV/BOWNE ST,40.758226000000001,-73.822768999999994,36081,Queens County,CS_C9-Weekday-SDon-148500_MISC_819,Q12,0,Q120037
500854,SANFORD AV/PARSONS BL,40.758772000000000,-73.820800000000006,36081,Queens County,CS_C9-Weekday-SDon-148500_MISC_819,Q12,0,Q120037
501530,PARSONS BL/CHERRY AV,40.756847999999998,-73.817631999999989,36081,Queens County,CS_C9-Weekday-SDon-100500_Q26_4,Q26,0,Q260028
501531,PARSONS BL/ELM AV,40.755976000000004,-73.816292000000004,36081,Queens County,CS_C9-Weekday-SDon-100500_Q26_4,Q26,0,Q260028
501532,PARSONS BL/HAWTHORNE AV,40.754738000000003,-73.814379000000002,36081,Queens County,CS_C9-Weekday-SDon-100500_Q26_4,Q26,0,Q260028
501533,46 AV/PARSONS BL,40.754148000000001,-73.812947999999992,36081,Queens County,CS_C9-Weekday-SDon-100500_Q26_4,Q26,0,Q260028
501545,HOLLIS CT BL/47 AV,40.751538000000004,-73.788463000000007,36081,Queens County,CS_C9-Weekday-SDon-100500_Q26_4,Q26,0,Q260028
